x,y,z,Ground Truth
-0.045288,0.988525,-0.013672,lefSide
-0.045288,0.988525,-0.013672,lefSide
-0.045288,0.988525,-0.013672,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.046509,0.987061,-0.017944,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047974,0.985962,-0.021729,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.047241,0.99707,-0.025269,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.046753,0.996216,-0.02771,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.045044,0.998779,-0.030884,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.046387,0.986084,-0.02356,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.045776,0.984741,-0.017334,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.041382,0.980469,-0.003052,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.040527,0.98291,-0.00415,lefSide
-0.041138,0.9823,-0.008179,lefSide
-0.041138,0.9823,-0.008179,lefSide
-0.041138,0.9823,-0.008179,lefSide
-0.041138,0.9823,-0.008179,lefSide
-0.041138,0.9823,-0.008179,lefSide
-0.041138,0.9823,-0.008179,lefSide
