x,y,z,Ground Truth
-0.040283,0.98999,-0.088013,leftSide
-0.040283,0.98999,-0.088013,leftSide
-0.040283,0.98999,-0.088013,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.037109,0.980469,-0.085449,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.032837,0.974487,-0.082764,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.035278,0.980713,-0.085693,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.03833,0.986206,-0.089844,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.040527,0.991577,-0.09021,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.041138,0.984619,-0.092529,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.040161,0.985962,-0.096191,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.039307,0.9823,-0.09021,leftSide
-0.037354,0.981079,-0.086792,leftSide
-0.037354,0.981079,-0.086792,leftSide
-0.037354,0.981079,-0.086792,leftSide
-0.037354,0.981079,-0.086792,leftSide
-0.037354,0.981079,-0.086792,leftSide
-0.037354,0.981079,-0.086792,leftSide
