Acc_X,Acc_Y,Acc_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z
0.02,0.96,-0.01,3.11,2.32,-0.98,54.8,-27,-34.03
0.02,0.96,-0.01,3.85,3.11,1.22,54.75,-26.12,-35.25
0.01,0.97,-0.02,2.32,2.38,0.67,54.76,-26.73,-34.29
0.01,0.97,-0.01,3.05,2.26,1.22,54.32,-26.38,-35.3
0.01,0.98,-0.01,2.32,2.56,0.67,54.64,-26.37,-34.25
0.01,0.97,-0.02,2.69,2.56,0.92,54.48,-26.49,-35.02
0.01,0.97,-0.02,2.99,2.62,1.1,54.41,-26.2,-33.39
0.01,0.97,-0.01,3.54,2.81,2.01,54.39,-26.87,-34.78
0.01,0.96,0,2.26,2.38,0.85,53.7,-26.44,-35.31
0.01,0.97,-0.01,3.05,2.5,-0.24,53.98,-26.32,-33.84
0.02,0.97,-0.01,2.93,2.01,-0.18,54.48,-26.42,-35.83
0.03,0.97,0,2.56,2.26,-0.18,54.57,-26.38,-34.68
0.02,0.97,-0.02,-1.83,2.2,-0.61,54.75,-25.63,-33.31
0.03,0.97,0,4.46,4.46,2.75,54.74,-25.98,-33.47
0.03,0.98,-0.04,-1.16,1.89,0.43,55.44,-25.88,-34.46
0.02,0.97,-0.01,0.31,2.26,0.49,54.65,-25.88,-33.92
0.02,0.97,-0.02,2.01,2.01,0.43,54.71,-25.4,-34.58
0.02,0.97,-0.01,0.73,2.38,0.98,54.97,-25.88,-34.19
0.02,0.96,-0.02,0.98,1.95,0.67,55.05,-25.95,-34.41
0.02,0.97,-0.01,1.65,2.2,0.24,54.86,-26.09,-34.13
0.01,0.97,-0.02,0,2.26,1.28,54.55,-25.95,-34.67
0.02,0.97,0,2.2,2.5,0.92,54.43,-26.33,-35.22
0.01,0.97,-0.01,3.78,2.93,0.67,54.24,-25.81,-34.35
0.01,0.97,-0.01,0.55,2.26,0.24,53.85,-25.65,-34.25
0.01,0.98,-0.01,3.42,2.44,1.59,54.15,-26.72,-35.07
0.02,0.97,0,1.22,2.38,0.67,54.71,-25.77,-34.12
0.01,0.97,-0.01,2.62,2.44,1.28,54.39,-26.59,-35.41
0.01,0.97,-0.01,2.14,2.14,0.67,54.58,-27.15,-34.83
0.02,0.97,-0.02,1.53,2.32,0.37,54.72,-26.88,-33.22
0.01,0.97,-0.01,2.75,2.56,1.46,54.03,-26.46,-35.33
0.02,0.97,-0.01,2.32,2.81,1.16,54.39,-26.7,-34.74
0.01,0.97,-0.02,1.65,2.5,1.53,54.27,-26.2,-35.69
0.01,0.97,-0.01,1.28,2.38,-0.06,54.85,-26.38,-35.02
