x,y,z,Ground Truth
0.058838,0.035034,-1.018311,Prone
0.058838,0.035034,-1.018311,Prone
0.058838,0.035034,-1.018311,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.059082,0.037964,-1.026855,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.058472,0.035522,-1.025757,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059082,0.036865,-1.028198,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.059937,0.037109,-1.026733,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.060913,0.039917,-1.02002,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061401,0.041382,-1.028809,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061768,0.039551,-1.033813,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.061279,0.040405,-1.032959,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.060669,0.040894,-1.029175,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.059692,0.039551,-1.022949,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.058716,0.037231,-1.020386,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.056763,0.035034,-1.023193,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.05896,0.035767,-1.027588,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.059326,0.035767,-1.028198,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.060303,0.037354,-1.030884,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061279,0.03772,-1.031128,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.038208,-1.025024,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.061035,0.039307,-1.02478,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060425,0.039551,-1.022461,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060669,0.038452,-1.022583,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060059,0.037964,-1.028931,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060913,0.038086,-1.029053,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060181,0.039307,-1.028198,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.060303,0.039673,-1.027954,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.05957,0.039429,-1.022827,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.058716,0.040161,-1.027466,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061035,0.039673,-1.026611,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.061157,0.039062,-1.029175,Prone
0.060913,0.040039,-1.029297,Prone
0.060913,0.040039,-1.029297,Prone
0.060913,0.040039,-1.029297,Prone
0.060913,0.040039,-1.029297,Prone
0.060913,0.040039,-1.029297,Prone
0.060913,0.040039,-1.029297,Prone
