Acc_X,Acc_Y,Acc_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z
-0.14,-0.03,-1,2.32,2.44,0.55,-19.01,20.69,32.17
-0.14,-0.03,-1,2.44,2.5,0.61,-18.92,20.17,33.08
-0.14,-0.02,-1,2.32,2.5,0.61,-19.1,20.51,32.92
-0.14,-0.02,-1,2.32,2.38,0.55,-18.7,20.69,32.93
-0.14,-0.02,-1,2.26,2.38,0.55,-19.21,20.94,32.36
-0.14,-0.02,-1,2.44,2.62,0.43,-18.92,20.47,31.85
-0.14,-0.03,-1,2.32,2.56,0.61,-19.02,21.37,32.95
-0.14,-0.03,-1,2.08,2.62,0.43,-19.42,20.61,32.03
-0.14,-0.02,-1,2.08,2.32,0.61,-19.24,20.58,32.2
-0.14,-0.02,-1,2.32,2.26,0.73,-19.13,20.65,32.14
-0.14,-0.02,-1,2.56,2.62,0.55,-19.13,20.47,32.34
-0.14,-0.03,-1,2.32,2.32,0.55,-19.07,20.52,34.22
-0.14,-0.03,-1,2.2,2.56,0.55,-19.04,20.5,32.35
-0.14,-0.02,-1,2.26,2.14,0.61,-18.87,20.92,31.63
-0.14,-0.02,-1,2.32,2.5,0.55,-18.59,20.57,31.93
-0.14,-0.02,-1,2.56,2.99,0.61,-19.26,20.78,32.59
-0.14,-0.03,-1,2.14,2.44,0.61,-18.33,20.95,32.91
-0.14,-0.02,-1,2.38,2.5,0.79,-19.07,20.67,32.75
-0.14,-0.02,-1,2.38,2.5,0.61,-18.21,20.47,32.06
-0.14,-0.03,-1,2.26,2.5,0.61,-19.09,20.29,32.98
-0.14,-0.03,-1,2.08,2.5,0.55,-19.65,20.51,32.85
-0.14,-0.03,-1,2.44,2.5,0.61,-19.54,20.26,33.9
-0.14,-0.02,-1,2.38,2.5,0.49,-18.77,19.62,32.89
-0.14,-0.02,-1,2.26,2.2,0.73,-18.87,19.81,32.13
-0.14,-0.03,-1,2.14,2.62,0.55,-19.25,19.92,32.57
-0.14,-0.03,-1,2.14,2.44,0.55,-18.71,19.9,32.89
-0.14,-0.02,-1,2.32,2.38,0.61,-19.04,20.86,32.5
-0.14,-0.02,-1,2.2,2.62,0.55,-19.17,20.56,32.4
