x,y,z,Ground Truth
-0.00708,0.982422,-0.045898,rightSide
-0.00708,0.982422,-0.045898,rightSide
-0.00708,0.982422,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.007446,0.986084,-0.045898,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.006226,0.986084,-0.046753,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.004761,0.994751,-0.049805,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.005371,0.991333,-0.048096,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.00354,0.987915,-0.046509,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004028,0.992798,-0.047852,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.004639,0.989136,-0.04541,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.00415,0.988892,-0.044922,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.004883,0.990601,-0.046631,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005005,0.98938,-0.044312,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005737,0.989868,-0.041626,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.005981,0.98584,-0.043945,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.006226,0.98999,-0.042847,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005737,0.990723,-0.037109,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005859,0.988159,-0.034912,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.005005,0.985962,-0.029175,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.003906,0.984497,-0.026367,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.00293,0.986084,-0.021118,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003174,0.98584,-0.015991,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
-0.003662,0.981934,-0.014526,rightSide
