x,y,z,Ground Truth
-0.005615,-0.010498,0.978638,Spine
-0.005615,-0.010498,0.978638,Spine
-0.005615,-0.010498,0.978638,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.007812,-0.008911,0.97876,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.009888,-0.009521,0.977905,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.01001,-0.012329,0.977417,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.010864,-0.012451,0.978394,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.009766,-0.014771,0.981567,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.007446,-0.015137,0.983398,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.005859,-0.014526,0.981812,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.006348,-0.014526,0.978149,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.007324,-0.011475,0.973633,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.008423,-0.009155,0.976929,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.01001,-0.008789,0.981323,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.010132,0.982544,Spine
-0.010132,-0.011108,0.982666,Spine
-0.010132,-0.011108,0.982666,Spine
-0.010132,-0.011108,0.982666,Spine
-0.010132,-0.011108,0.982666,Spine
-0.010132,-0.011108,0.982666,Spine
