Acc_X,Acc_Y,Acc_Z,G_X,G_Y,G_Z,M_X,M_Y,M_Z
-0.03,-0.04,0.99,2.32,2.32,0.61,-16.06,22.08,-32.48
-0.02,-0.04,0.98,2.32,2.5,0.61,-16.14,21.63,-32.43
-0.02,-0.04,0.98,2.2,2.56,0.61,-15.92,21.66,-33.15
-0.02,-0.04,0.99,2.44,2.62,0.55,-15.81,21.84,-31.98
-0.02,-0.03,0.98,2.14,2.62,0.61,-16.06,21.06,-33.19
-0.02,-0.03,0.99,2.26,2.32,0.55,-15.01,21.4,-32.36
-0.02,-0.03,0.98,2.44,2.75,0.61,-15.76,21.95,-33.09
-0.02,-0.04,0.98,2.38,2.5,0.55,-15.49,21.66,-32.26
-0.02,-0.04,0.99,2.32,2.38,0.55,-15.92,21.63,-32.95
-0.02,-0.04,0.99,2.26,2.5,0.55,-15.45,21.96,-32.47
-0.02,-0.03,0.98,2.44,2.5,0.61,-15.04,21.36,-32.32
-0.02,-0.03,0.99,2.38,2.44,0.55,-15.36,21.94,-32.68
-0.02,-0.04,0.99,2.38,2.32,0.49,-15.59,21.73,-32.78
-0.02,-0.04,0.98,2.2,2.38,0.55,-16.28,21.59,-32.19
-0.02,-0.03,0.98,2.14,2.5,0.61,-16.24,21.36,-32.85
-0.02,-0.04,0.98,2.38,2.5,0.49,-15.89,21.51,-33.64
-0.02,-0.03,0.98,2.38,2.38,0.61,-16.3,21.35,-33.28
-0.02,-0.03,0.98,2.2,2.32,0.55,-15.67,21.7,-32.34
-0.02,-0.04,0.98,2.26,2.38,0.55,-15.48,21.97,-32.04
-0.02,-0.04,0.98,2.32,2.26,0.55,-15.91,21.09,-32.87
-0.02,-0.04,0.98,2.32,2.2,0.49,-16.17,21.75,-32.69
-0.02,-0.03,0.98,2.26,2.32,0.55,-16.3,21.07,-33.07
-0.02,-0.03,0.98,2.32,2.26,0.61,-15.69,22.22,-32.67
-0.02,-0.03,0.98,2.26,2.26,0.37,-15.78,21.39,-33.02
-0.02,-0.03,0.98,2.01,2.32,0.49,-15.75,21.47,-32.81
-0.02,-0.04,0.98,2.26,2.32,0.61,-15.34,21.36,-33.73
-0.02,-0.04,0.98,2.01,2.38,0.61,-15.63,21.48,-32.21
-0.02,-0.03,0.98,2.2,2.32,0.49,-15.84,21.72,-32.64
-0.02,-0.04,0.98,2.2,2.38,0.67,-15.77,21.45,-33.18
-0.02,-0.03,0.98,2.44,2.32,0.61,-16.21,21.62,-32.62
-0.02,-0.04,0.98,2.26,2.56,0.61,-16.16,21.53,-31.84
-0.02,-0.04,0.98,2.32,2.32,0.55,-15.86,21.51,-33.42
-0.02,-0.04,0.98,2.26,2.44,0.61,-16.03,21.92,-31.76
-0.02,-0.04,0.98,2.26,2.44,0.67,-15.83,21.68,-32.68
-0.02,-0.04,0.98,2.32,2.5,0.55,-15.53,21.74,-33.65
-0.02,-0.03,0.99,2.2,2.44,0.49,-15.89,21.09,-32.13
-0.02,-0.03,0.98,2.2,2.32,0.49,-15.95,21.52,-33.8
-0.02,-0.03,0.98,2.26,2.44,0.49,-15.93,21.11,-31.59
-0.02,-0.04,0.98,2.14,2.26,0.61,-15.88,21.58,-31.99
-0.02,-0.04,0.99,2.32,2.2,0.61,-15.92,21.26,-32.82
